,Date,%,Country,Region,Source,Pct,Network Pct,MWh,Regional Energy Consumption,Fossil Fuel,Pounds CO2 per MWh,Tons of CO2
36,2020-01-31 00:00:00+00:00,0.0,Canada,Ontario,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
37,2020-01-31 00:00:00+00:00,0.0,Canada,Ontario,Other renewables,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
38,2020-01-31 00:00:00+00:00,0.0,Canada,Ontario,Solar,0.01664,0.0,2888203.9831851223,0.0,0,0.0,0.0
39,2020-01-31 00:00:00+00:00,0.0,Canada,Ontario,Wind,0.08474,0.0,2888203.9831851223,0.0,0,0.0,0.0
40,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Coal,0.0,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
41,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Gas,0.00963,0.0003852,2888203.9831851223,1112.5361743229091,Gas,910.0,459.2189703641188
42,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Hydro,0.93943,0.0375772,2888203.9831851223,108530.61871694397,0,0.0,0.0
43,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
44,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
45,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Other renewables,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
46,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Solar,1e-05,4.0000000000000003e-07,2888203.9831851223,1.155281593274049,0,0.0,0.0
47,2020-01-31 00:00:00+00:00,0.04,Canada,Quebec,Wind,0.05093,0.0020372000000000003,2888203.9831851223,5883.849154544732,0,0.0,0.0
48,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Coal,0.845,0.17745,2888203.9831851223,512511.79681619996,Coal,2210.0,513760.1642741874
49,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
