time,Units in Use
2019-12-31 00:00:00+00:00,2114219.86461002
2020-01-31 00:00:00+00:00,2220113.6071244595
2020-02-29 00:00:00+00:00,2329609.627404634
2020-03-31 00:00:00+00:00,1695395.8713541967
2020-04-30 00:00:00+00:00,1873655.6760781344
2020-05-31 00:00:00+00:00,2043685.7164180318
2020-06-30 00:00:00+00:00,1487248.6990431824
2020-07-31 00:00:00+00:00,2038197.0656158074
2020-08-31 00:00:00+00:00,2445461.819301586
2020-09-30 00:00:00+00:00,2384424.8408174496
2020-10-31 00:00:00+00:00,1896889.5754733656
2020-11-30 00:00:00+00:00,1504736.5633534596
2020-12-31 00:00:00+00:00,2101037.12667637
2021-01-31 00:00:00+00:00,3697199.019680711
2021-02-28 00:00:00+00:00,3910312.895031284
2021-03-31 00:00:00+00:00,2955386.7040578863
2021-04-30 00:00:00+00:00,3165739.609782201
2021-05-31 00:00:00+00:00,3647047.386348247
2021-06-30 00:00:00+00:00,3417846.249819383
2021-07-31 00:00:00+00:00,2451779.772351239
2021-08-31 00:00:00+00:00,2690831.154684692
2021-09-30 00:00:00+00:00,2638932.8781925235
