time,Units in Use
2010-11-30 00:00:00+00:00,0.00011109748985724773
2010-12-31 00:00:00+00:00,0.0001853695943429698
2011-01-31 00:00:00+00:00,0.0
2011-02-28 00:00:00+00:00,1.2066059340185998e-05
2011-03-31 00:00:00+00:00,8.368359527818253e-05
2011-04-30 00:00:00+00:00,0.0004742505793498663
2011-05-31 00:00:00+00:00,0.0028946138609758105
2011-06-30 00:00:00+00:00,0.00043305275038287445
2011-07-31 00:00:00+00:00,0.0
2011-08-31 00:00:00+00:00,0.0004098332467464789
2011-09-30 00:00:00+00:00,0.0
2011-10-31 00:00:00+00:00,0.009653322209574208
2011-11-30 00:00:00+00:00,0.07254409825639477
2011-12-31 00:00:00+00:00,0.04438464093859519
2012-01-31 00:00:00+00:00,0.05702910361783141
2012-02-29 00:00:00+00:00,0.04458247276242844
2012-03-31 00:00:00+00:00,0.02775709557321622
2012-04-30 00:00:00+00:00,0.015063996011213898
2012-05-31 00:00:00+00:00,0.053586711612683746
2012-06-30 00:00:00+00:00,0.0167341685978349
2012-07-31 00:00:00+00:00,0.020415391858223293
2012-08-31 00:00:00+00:00,0.0034379892405355826
2012-09-30 00:00:00+00:00,0.056925861882495765
2012-10-31 00:00:00+00:00,0.11190024140578503
2012-11-30 00:00:00+00:00,0.05637817012743155
2012-12-31 00:00:00+00:00,0.02134858978148934
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.004039366036942606
2013-03-31 00:00:00+00:00,0.17293602315303463
2013-04-30 00:00:00+00:00,0.17236848549198291
2013-05-31 00:00:00+00:00,0.05283379097516101
2013-06-30 00:00:00+00:00,0.03627256762721397
2013-07-31 00:00:00+00:00,0.452798584837335
2013-08-31 00:00:00+00:00,2.2208234037652477
2013-09-30 00:00:00+00:00,0.3392826747206176
2013-10-31 00:00:00+00:00,2.9920910944371912
2013-11-30 00:00:00+00:00,2.202280486967525
2013-12-31 00:00:00+00:00,3.2597622205398618
2014-01-31 00:00:00+00:00,13.53187242296333
2014-02-28 00:00:00+00:00,1.2142952138214909
2014-03-31 00:00:00+00:00,70.63145475455453
2014-04-30 00:00:00+00:00,21.896912888379443
2014-05-31 00:00:00+00:00,266.20932621118266
2014-06-30 00:00:00+00:00,261.3636225278631
2014-07-31 00:00:00+00:00,219.80443685715022
2014-08-31 00:00:00+00:00,428.16066119479524
2014-09-30 00:00:00+00:00,677.4367136945634
2014-10-31 00:00:00+00:00,125.27471237899312
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0
2015-01-31 00:00:00+00:00,1222.1778199535968
2015-02-28 00:00:00+00:00,2160.9291038689144
2015-03-31 00:00:00+00:00,3983.350602614023
2015-04-30 00:00:00+00:00,4685.2473739410725
2015-05-31 00:00:00+00:00,4890.94025188018
2015-06-30 00:00:00+00:00,4525.964375298824
2015-07-31 00:00:00+00:00,3998.9851329088065
2015-08-31 00:00:00+00:00,5358.049838100119
2015-09-30 00:00:00+00:00,3339.7994384322888
2015-10-31 00:00:00+00:00,4286.808832257313
2015-11-30 00:00:00+00:00,6746.949087098807
2015-12-31 00:00:00+00:00,7480.148860172388
2016-01-31 00:00:00+00:00,5485.58722735892
2016-02-29 00:00:00+00:00,10047.167357738073
2016-03-31 00:00:00+00:00,4728.993238868481
2016-04-30 00:00:00+00:00,5411.51541967058
2016-05-31 00:00:00+00:00,3319.801247159717
2016-06-30 00:00:00+00:00,455.02016093407536
2016-07-31 00:00:00+00:00,6575.287866235637
2016-08-31 00:00:00+00:00,11467.03470331611
2016-09-30 00:00:00+00:00,18783.227323961455
2016-10-31 00:00:00+00:00,28998.875365070737
2016-11-30 00:00:00+00:00,36314.92211952618
2016-12-31 00:00:00+00:00,48290.08910499403
2017-01-31 00:00:00+00:00,71295.3127503475
2017-02-28 00:00:00+00:00,87909.69715869443
2017-03-31 00:00:00+00:00,84926.55699289012
2017-04-30 00:00:00+00:00,110411.33281079655
2017-05-31 00:00:00+00:00,135427.97525850873
2017-06-30 00:00:00+00:00,182367.52570165214
2017-07-31 00:00:00+00:00,228781.46741560646
2017-08-31 00:00:00+00:00,289102.35058309155
2017-09-30 00:00:00+00:00,306382.6905643378
2017-10-31 00:00:00+00:00,398034.98529144685
2017-11-30 00:00:00+00:00,458170.3688654109
2017-12-31 00:00:00+00:00,521710.2943806675
2018-01-31 00:00:00+00:00,751181.4809829829
2018-02-28 00:00:00+00:00,1092239.5112289803
2018-03-31 00:00:00+00:00,1210491.4621475565
2018-04-30 00:00:00+00:00,1290256.5514653656
2018-05-31 00:00:00+00:00,1590608.013265278
2018-06-30 00:00:00+00:00,1792719.4828115287
2018-07-31 00:00:00+00:00,2103633.8589214184
2018-08-31 00:00:00+00:00,2192823.294951222
2018-09-30 00:00:00+00:00,2290553.2506207414
2018-10-31 00:00:00+00:00,2400378.998076145
2018-11-30 00:00:00+00:00,2282473.4503194788
2018-12-31 00:00:00+00:00,2019609.0864516904
2019-01-31 00:00:00+00:00,2065566.2315172842
2019-02-28 00:00:00+00:00,2073074.7341246624
2019-03-31 00:00:00+00:00,2125577.3299836004
2019-04-30 00:00:00+00:00,2145730.435417276
2019-05-31 00:00:00+00:00,2300929.6730813826
2019-06-30 00:00:00+00:00,2458648.8536056387
2019-07-31 00:00:00+00:00,2633185.506048897
2019-08-31 00:00:00+00:00,2688631.1147760637
2019-09-30 00:00:00+00:00,3248389.8142450307
2019-10-31 00:00:00+00:00,3258886.7510438086
2019-11-30 00:00:00+00:00,2533836.279216217
